feature,avg_shap_value,abs_importance
time_since_signup,-0.015450282460154445,0.015450282460154445
purchase_value,-0.010187806478518718,0.010187806478518718
age,-0.007314729946954077,0.007314729946954077
device_unique_users,-0.006132166810576896,0.006132166810576896
is_weekend,-0.005883274741862899,0.005883274741862899
is_shared_device,-0.005434614276484798,0.005434614276484798
hour,-0.00531071204619158,0.00531071204619158
is_young_user,-0.005259752052831934,0.005259752052831934
user_transaction_count,-0.002448442139622598,0.002448442139622598
is_ad_source,-0.0023109189422288704,0.0023109189422288704
is_new_user,-0.0016762538472410472,0.0016762538472410472
is_night,-0.0012462816874233564,0.0012462816874233564
is_high_value,-0.0001819575523647842,0.0001819575523647842
